Designator,Mid X,Mid Y,Rotation,Layer
R130,197.575,-98.85,0.0,bottom
R131,193.825,-103.35,270.0,top
R14,171.325,-84.5,180.0,top
R15,189.75,-58.025,90.0,top
R16,187.75,-58.1,270.0,top
R17,189.75,-61.925,90.0,top
R18,187.75,-62.0,90.0,top
R19,154.75,-78.5,180.0,top
R2,185.75,-58.1,270.0,top
R20,170.5,-43.525,270.0,top
R21,199.3,-91.55,180.0,top
R22,204.725,-86.525,0.0,top
R23,159.925,-98.85,0.0,top
R24,159.94375,-101.3,0.0,top
R25,141.05,-84.75,270.0,top
R26,139.3,-84.75,270.0,top
R27,175.2,-44.7,0.0,top
R28,184.825,-79.0,0.0,top
R3,139.525,-72.875,0.0,top
R31,193.4,-88.2,180.0,top
R32,198.525,-82.675,270.0,top
R33,169.75,-48.1,270.0,top
R34,189.7,-85.7,180.0,top
R35,205.0,-70.5,0.0,top
R36,205.0,-76.5,0.0,top
R37,201.675,-57.0,0.0,top
R38,201.05,-79.556867,270.0,top
R39,201.05,-68.0,270.0,top
R4,132.9,-74.1,0.0,top
R40,201.05,-73.75,270.0,top
R41,146.5,-83.0,90.0,top
R42,152.5,-83.0,90.0,top
R43,197.0,-57.1,180.0,top
R44,184.814808,-77.0,0.0,top
R45,140.875,-66.65,270.0,bottom
R46,161.325,-54.25,180.0,top
R47,194.9,-55.4,0.0,top
R48,175.7,-51.1,90.0,top
R49,186.1,-45.9,0.0,top
R5,191.75,-62.0,90.0,top
R50,148.25,-83.0,270.0,top
R51,154.5,-83.0,90.0,top
R52,124.5,-82.0,270.0,top
R53,126.25,-76.0,0.0,top
R54,128.55,-88.0,0.0,top
R55,130.75,-83.5,0.0,top
R56,204.9,-57.0,0.0,top
R57,186.1,-47.4,0.0,top
R59,160.0,-51.25,90.0,top
R6,185.75,-62.0,90.0,top
R60,153.75,-55.15,90.0,top
R61,164.825,-54.25,0.0,top
R62,165.75,-51.325,90.0,top
R63,153.75,-52.0,90.0,top
R64,178.6,-44.7,0.0,top
R65,184.825,-75.0,0.0,top
