pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
166.3,-126.3,180.0,top,C1,,,C_1206_3216Metric,10uF,smt
155.45,-111.9,0.0,top,C10,,,C_0805_2012Metric,0.1uF/100nF,smt
106.0,-90.7,0.0,top,C11,,,C_0805_2012Metric,0.1uF/100nF,smt
135.4,-108.2,180.0,top,C12,,,C_0805_2012Metric,22uF,smt
163.1,-118.75,-90.0,top,C2,,,C_0805_2012Metric,22uF,smt
160.47,-112.6834,0.0,top,C3,,,C_0805_2012Metric,22uF,smt
105.1,-96.2,0.0,top,C4,,,C_0805_2012Metric,0.1uF/100nF,smt
109.1,-87.7,-90.0,top,C5,,,C_0805_2012Metric,22uF,smt
106.9,-87.7,-90.0,top,C6,,,C_0805_2012Metric,0.1uF/100nF,smt
162.179,-104.6988,-90.0,top,C7,,,C_0805_2012Metric,22uF,smt
160.147,-104.6988,-90.0,top,C8,,,C_0805_2012Metric,0.1uF/100nF,smt
142.6,-111.9,0.0,top,C9,,,C_0603_1608Metric,100nF,smt
169.2,-130.7,0.0,top,D1,,,D_SMA,SS26,smt
168.7068,-109.4928,90.0,top,D2,,,D_SMA,SS26,smt
169.5,-92.45,0.0,top,D3,,,SOT-143,SP0503BAHT,smt
177.8508,-121.7,90.0,bottom,J1,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02_Pin,tht
141.45,-130.225,0.0,bottom,J2,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,JST 4P,tht
84.582,-90.98,0.0,top,J3,,,PinSocket_1x14_P2.54mm_Vertical,TFT SPI,tht
177.165,-94.361,90.0,top,J5,,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0,smt
178.9684,-103.6828,0.0,top,J6,,,PinSocket_1x04_P2.54mm_Vertical,TFT SD,tht
97.025,-101.6,90.0,top,JP1,,,PinHeader_1x02_P2.54mm_Vertical,Jumper_2_Open,tht
158.5214,-131.826,0.0,top,LED1,,,LED_0805_2012Metric,LED,smt
138.1,-87.5,0.0,top,LED2,,,LED_0805_2012Metric,BLUE,smt
137.0,-103.5,0.0,top,LED3,,,LED_0805_2012Metric,GREEN,smt
147.1191,-107.442,0.0,top,Q1,,,SOT-23,SS8050,smt
153.4183,-107.442,0.0,top,Q2,,,SOT-23,SS8050,smt
106.4768,-93.9546,0.0,top,R1,,,R_0805_2012Metric,10K,smt
150.271,-107.4064,90.0,top,R10,,,R_0805_2012Metric,10K,smt
138.5,-119.6,0.0,top,R11,,,R_0603_1608Metric,4.7K,smt
166.0824,-93.0636,180.0,top,R12,,,R_0805_2012Metric,5k1,smt
169.2656,-96.6216,180.0,top,R13,,,R_0805_2012Metric,5k1,smt
135.3,-114.2125,90.0,top,R14,,,R_0805_2012Metric,120R,smt
135.3,-117.9125,90.0,top,R15,,,R_0805_2012Metric,100R,smt
136.3,-111.2,0.0,top,R16,,,R_0805_2012Metric,100R,smt
142.5875,-87.2,0.0,top,R17,,,R_0805_2012Metric,5k1,smt
140.5,-103.5,0.0,top,R18,,,R_0805_2012Metric,560K,smt
166.624,-100.838,180.0,top,R2,,,R_0805_2012Metric,22.1K,smt
159.9,-125.1,-90.0,top,R3,,,R_0805_2012Metric,10R,smt
166.624,-102.9208,0.0,top,R4,,,R_0805_2012Metric,47.5K,smt
163.6776,-100.8107,90.0,top,R5,,,R_0805_2012Metric,2K,smt
162.4076,-92.9386,90.0,top,R6,,,R_0805_2012Metric,10K,smt
148.1,-97.4,0.0,top,R7,,,R_0805_2012Metric,0R,smt
148.3,-99.8,180.0,top,R8,,,R_0805_2012Metric,0R,smt
151.1046,-103.124,180.0,top,R9,,,R_0805_2012Metric,10K,smt
146.6,-119.7,90.0,top,SW1,,,SW_PUSH_6mm,SW_Push,tht
96.75,-95.45,90.0,top,SW2,,,SW_PUSH_6mm,SW_Push,tht
157.6,-118.4,90.0,top,U1,,,SOT-223-3_TabPin2,AMS1117-3.3,smt
168.2496,-118.1612,90.0,top,U2,,,SOT-223-3_TabPin2,AMS1117-5.0,smt
122.7,-93.745,0.0,top,U3,,,ESP32-WROOM-32D,ESP32-WROOM-32D,smt
157.8768,-97.6726,90.0,top,U4,,,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,CP2102N-Axx-xQFN28,smt
140.625,-115.395,180.0,top,U5,,,SOIC-8_3.9x4.9mm_P1.27mm,MCP2551-I-SN,smt
90.72,-105.7,-90.0,bottom,U6,,,ESP32-DevKitC,ESP32-DevKitC,tht
